np_node_id,type,np_data_id,selected,parent_id,branch_level,child_id,np_tag_id,np_palette_id,np_ch_in_id,np_ch_out_id,ch_sync_time,np_palette_id_alt,np_color_id_alt,aux_a_x,aux_a_y,aux_a_z,aux_b_x,aux_b_y,aux_b_z,color_alpha_alt,rotate_vec_x,rotate_vec_y,rotate_vec_z,rotate_vec_s,scale_x,scale_y,scale_z,translate_x,translate_y,translate_z,tag_offset_x,tag_offset_y,tag_offset_z,rotate_rate_x,rotate_rate_y,rotate_rate_z,rotate_x,rotate_y,rotate_z,scale_rate_x,scale_rate_y,scale_rate_z,translate_rate_x,translate_rate_y,translate_rate_z,translate_vec_x,translate_vec_y,translate_vec_z,np_material_id,np_geometry_id,line_width,point_size,ratio,np_color_id,color_r,color_g,color_b,color_a,color_fade,np_texture_id,hide,freeze,np_topo_id,subspace,auto_zoom_x,auto_zoom_y,auto_zoom_z,trigger_hi_x,trigger_hi_y,trigger_hi_z,trigger_lo_x,trigger_lo_y,trigger_lo_z,set_hi_x,set_hi_y,set_hi_z,set_lo_x,set_lo_y,set_lo_z,proximity_x,proximity_y,proximity_z,proximity_mode_x,proximity_mode_y,proximity_mode_z,segments_x,segments_y,segments_z,tag_mode,np_format_id,np_table_id,record_id,size
1,0,1,0,0,0,0,0,0,0,0,0,0,19,30,1,1.0,0.0,1,0.0,255,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0,50,101,101,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,0,0,420
2,1,2,0,0,0,0,0,0,0,0,0,0,19,30,1,1.0,0.0,1,0.0,255,0,0.858268,-0.444205,0.257016,1.0,1.0,1.0,-32.09552,16.611364,-9.6113,0,0,0,0,0,0,104.893097,117.364296,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,18,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.395679,0,0,0,0,0,12,6,1,65536035,0,0,0,420
3,1,3,0,2,1,0,0,0,0,0,0,0,19,30,1,1.0,0.0,1,0.0,255,0,0.666369,0.579266,-0.469472,1.0,1.0,1.0,-66.0,-74.0,56.0,0,0,0,0,0,0,62.0,49.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,18,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536035,0,0,0,420
4,1,4,0,2,1,0,0,0,0,0,0,0,19,30,1,1.0,0.0,1,0.0,255,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,-90.0,7.0,0,0,0,0,0,0,90.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,18,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536035,0,0,0,420
5,1,5,0,2,1,0,0,0,0,0,0,0,19,30,1,1.0,0.0,1,0.0,255,0,-1.0,0.0,0.0,1.0,1.0,1.0,85.0,0.0,7.0,0,0,0,0,0,0,90.0,270.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,18,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536035,0,0,0,420
7,6,7,0,0,0,0,0,0,0,0,0,0,3,30,30,30.0,0.0,1,0.0,255,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0.1,19,255,255,255,255,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,180,90,0,-180,-90,0,0.0,0,0,0,0,0,12,6,0,65536032,0,0,0,420
8,5,39,0,0,1,0,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,3.0,3.0,3.0,-89.4928234875,37.8726978375,-10.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0.1,0,0,0,0,119,0,1,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,1,420
9,5,39,0,0,1,0,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,0.2,0.2,0.12181953866272849,-81.10204,33.61571,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0.1,0,0,0,0,119,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,1,420
10,7,39,0,8,1,9,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0.1,0,0,0,0,255,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,0,420
11,5,39,0,0,1,0,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,0.2,0.2,10.11773195928811,-81.1637245,33.836081,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0.1,0,0,0,0,119,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,1,420
12,7,39,0,8,1,11,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0.1,0,0,0,0,255,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,0,420
13,5,39,0,0,1,0,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,0.2,0.2,11.756564123926685,-86.5804473,35.5174913,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0.1,0,0,0,0,119,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,1,420
14,7,39,0,8,1,13,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0.1,0,0,0,0,255,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,0,420
15,5,39,0,0,1,0,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,0.2,0.2,9.492982671426299,-84.2700179,37.8393332,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0.1,0,0,0,0,119,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,1,420
16,7,39,0,8,1,15,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0.1,0,0,0,0,255,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,0,420
17,5,39,0,0,1,0,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,0.2,0.2,14.449489956396386,-79.0192997,35.7595731,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0.1,0,0,0,0,119,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,1,420
18,7,39,0,8,1,17,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0.1,0,0,0,0,255,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,0,420
19,5,39,0,0,1,0,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,0.2,0.2,4.47213595499958,-120.7401385,47.7510741,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0.1,0,0,0,0,119,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,1,420
20,7,39,0,8,1,19,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0.1,0,0,0,0,255,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,0,420
21,5,39,0,0,1,0,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,0.2,0.2,3.7829142205447908,-104.9847,39.73915,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0.1,0,0,0,0,119,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,1,420
22,7,39,0,8,1,21,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0.1,0,0,0,0,255,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,0,420
23,5,39,0,0,1,0,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,0.2,0.2,0.12884098726725127,-78.08222,38.92317,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0.1,0,0,0,0,119,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,1,420
24,7,39,0,8,1,23,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0.1,0,0,0,0,255,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,0,420
25,5,39,0,0,1,0,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,3.0,3.0,3.0,-98.84188155,31.1516444,-10.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0.1,0,0,0,0,206,0,1,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,2,420
26,5,39,0,0,1,0,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,0.2,0.2,5.079740150834489,-97.78195,30.33469,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0.1,0,0,0,0,206,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,2,420
27,7,39,0,25,1,26,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0.1,0,0,0,0,255,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,1,420
28,5,39,0,0,1,0,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,0.2,0.2,24.143531224740098,-99.9018131,31.9685988,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0.1,0,0,0,0,206,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,2,420
29,7,39,0,25,1,28,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0.1,0,0,0,0,255,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,1,420
30,5,39,0,0,1,0,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,3.0,3.0,3.0,-80.88729841818183,38.639481472727276,-10.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0.1,0,0,0,0,234,0,1,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,3,420
31,5,39,0,0,1,0,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,0.2,0.2,5.989517509783238,-80.4549026,38.5976262,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0.1,0,0,0,0,234,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,3,420
32,7,39,0,30,1,31,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0.1,0,0,0,0,255,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,2,420
33,5,39,0,0,1,0,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,0.2,0.2,2.4615889177521093,-79.99589,40.44062,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0.1,0,0,0,0,234,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,3,420
34,7,39,0,30,1,33,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0.1,0,0,0,0,255,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,2,420
35,5,39,0,0,1,0,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,0.2,0.2,1.4547989551824678,-80.04654,39.63028,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0.1,0,0,0,0,234,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,3,420
36,7,39,0,30,1,35,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0.1,0,0,0,0,255,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,2,420
37,5,39,0,0,1,0,0,0,0,0,0,0,19,35,1,12.000085,1.009999,0,0.999999,255,0,0.0,0.0,1.0,0.2,0.2,0.8272363628371278,-79.66816,39.4693,0.0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0.1,0,0,0,0,234,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,6,1,65536032,0,7,3,420
